transaction_id,customer_id,timestamp,amount,merchant_category,location,device_id,transaction_type,account_age_days
TX000000,C0184,2026-03-12T02:37:00,280.79,grocery,City-4,D1,card,1043
TX000001,C0290,2026-03-19T04:21:00,303.42,travel,City-0,D2,card,1289
TX000002,C0074,2026-01-24T23:33:00,21.26,retail,City-4,D2,card,851
TX000003,C0181,2026-01-21T22:21:00,531.1,travel,City-1,D1,card,675
TX000004,C0130,2026-02-04T03:38:00,76.54,cash,City-0,D1,card,1899
TX000005,C0201,2026-03-24T11:18:00,661.51,grocery,City-1,D0,card,1084
TX000006,C0288,2026-03-18T08:53:00,321.37,travel,City-3,D0,card,1079
TX000007,C0229,2026-02-26T23:06:00,101.01,retail,City-4,D1,card,428
TX000008,C0179,2026-03-04T12:45:00,315.57,cash,City-4,D2,card,1240
TX000009,C0190,2026-01-09T13:24:00,522.83,travel,City-0,D1,card,1873
TX000010,C0217,2026-01-13T08:48:00,56.55,grocery,City-2,D1,card,1199
TX000011,C0133,2026-03-12T10:28:00,98.27,retail,City-3,D1,card,529
TX000012,C0216,2026-02-23T02:33:00,85.32,retail,City-1,D0,card,1142
TX000013,C0002,2026-02-21T12:26:00,397.91,travel,City-2,D2,card,1534
TX000014,C0276,2026-03-13T22:22:00,57.0,retail,City-1,D0,card,1864
TX000015,C0253,2026-01-11T18:37:00,229.14,grocery,City-3,D1,card,1325
TX000016,C0218,2026-02-07T16:11:00,537.72,travel,City-3,D2,card,687
TX000017,C0221,2026-03-22T20:28:00,235.16,cash,City-1,D2,card,747
TX000018,C0159,2026-01-29T07:11:00,372.23,retail,City-4,D0,card,1874
TX000019,C0166,2026-02-09T09:52:00,654.76,retail,City-1,D1,card,1119
TX000020,C0284,2026-03-26T06:03:00,349.79,retail,City-4,D2,card,771
TX000021,C0195,2026-03-30T19:07:00,134.7,grocery,City-0,D0,card,263
TX000022,C0081,2026-03-18T13:09:00,72.01,grocery,City-1,D0,card,1188
TX000023,C0009,2026-03-07T23:47:00,4194.46,cash,City-9,D3838,card,901
TX000024,C0003,2026-01-28T04:09:00,324.44,travel,City-3,D0,card,247
TX000025,C0117,2026-03-31T17:35:00,238.41,cash,City-2,D0,card,1678
TX000026,C0012,2026-01-10T13:51:00,197.77,retail,City-2,D0,card,1310
TX000027,C0186,2026-01-09T03:21:00,209.6,retail,City-1,D0,card,504
TX000028,C0135,2026-01-13T20:55:00,48.54,retail,City-0,D0,card,1823
TX000029,C0086,2026-01-15T01:39:00,3367.69,retail,City-19,D8212,card,1927
TX000030,C0071,2026-03-02T05:19:00,131.33,cash,City-1,D2,card,1937
TX000031,C0278,2026-03-15T18:46:00,576.5,cash,City-3,D2,card,909
TX000032,C0012,2026-02-19T08:15:00,489.95,travel,City-2,D0,card,199
TX000033,C0255,2026-01-05T18:32:00,156.53,retail,City-0,D0,card,61
TX000034,C0081,2026-03-09T10:45:00,384.8,travel,City-1,D0,card,1033
TX000035,C0016,2026-01-20T17:19:00,288.45,cash,City-1,D1,card,934
TX000036,C0212,2026-03-11T07:44:00,76.1,retail,City-2,D2,card,771
TX000037,C0294,2026-01-23T21:40:00,413.82,travel,City-4,D0,card,1749
TX000038,C0171,2026-02-18T17:07:00,395.23,grocery,City-1,D0,card,854
TX000039,C0173,2026-02-09T20:10:00,323.91,cash,City-3,D2,card,341
TX000040,C0044,2026-03-24T05:37:00,394.38,grocery,City-4,D2,card,284
TX000041,C0035,2026-01-09T09:45:00,103.23,grocery,City-0,D2,card,1240
TX000042,C0128,2026-03-29T10:21:00,63.04,grocery,City-3,D2,card,332
TX000043,C0122,2026-02-24T03:23:00,22.29,grocery,City-2,D2,card,1843
TX000044,C0010,2026-01-14T07:31:00,392.26,retail,City-0,D1,card,217
TX000045,C0171,2026-02-19T05:35:00,181.63,travel,City-1,D0,card,1186
TX000046,C0195,2026-01-31T20:14:00,79.17,travel,City-0,D0,card,418
TX000047,C0129,2026-03-28T13:25:00,789.74,travel,City-4,D0,card,1622
TX000048,C0221,2026-03-18T12:29:00,270.41,travel,City-1,D2,card,1474
TX000049,C0156,2026-02-16T17:40:00,158.34,cash,City-1,D0,card,786
TX000050,C0148,2026-03-20T04:00:00,255.8,cash,City-3,D1,card,1649
TX000051,C0016,2026-02-13T21:07:00,285.77,retail,City-1,D1,card,1469
TX000052,C0094,2026-02-09T07:12:00,118.71,cash,City-4,D1,card,1421
TX000053,C0256,2026-01-22T13:09:00,495.51,travel,City-1,D1,card,1346
TX000054,C0035,2026-01-07T21:28:00,75.21,cash,City-0,D2,card,915
TX000055,C0231,2026-01-13T23:09:00,224.58,travel,City-1,D0,card,1513
TX000056,C0116,2026-03-02T17:54:00,297.68,retail,City-1,D2,card,1520
TX000057,C0157,2026-02-07T14:20:00,199.75,cash,City-2,D1,card,1843
TX000058,C0296,2026-03-14T03:31:00,263.13,cash,City-1,D2,card,1312
TX000059,C0042,2026-01-30T13:45:00,235.67,retail,City-2,D0,card,1675
TX000060,C0226,2026-03-24T16:53:00,69.4,retail,City-1,D1,card,633
TX000061,C0054,2026-02-26T21:19:00,354.78,retail,City-4,D0,card,409
TX000062,C0087,2026-03-07T02:12:00,332.22,grocery,City-2,D0,card,57
TX000063,C0025,2026-03-18T20:54:00,67.56,travel,City-0,D1,card,1125
TX000064,C0194,2026-02-25T05:52:00,76.78,retail,City-4,D2,card,1458
TX000065,C0109,2026-03-25T19:48:00,489.76,cash,City-4,D1,card,682
TX000066,C0144,2026-02-03T06:54:00,506.14,travel,City-4,D0,card,878
TX000067,C0272,2026-02-04T13:54:00,28.29,grocery,City-2,D2,card,1178
TX000068,C0149,2026-01-02T23:23:00,22.19,grocery,City-4,D2,card,1996
TX000069,C0275,2026-01-01T18:27:00,122.31,grocery,City-0,D2,card,653
TX000070,C0057,2026-02-10T01:07:00,2131.4,travel,City-11,D1065,card,848
TX000071,C0083,2026-03-06T05:07:00,95.43,cash,City-3,D2,card,1611
TX000072,C0186,2026-02-28T13:54:00,147.39,cash,City-1,D0,card,1044
TX000073,C0216,2026-02-11T11:11:00,64.96,cash,City-1,D0,card,176
TX000074,C0034,2026-02-28T11:17:00,118.42,travel,City-4,D1,card,1924
TX000075,C0196,2026-01-14T20:40:00,144.09,grocery,City-1,D1,card,1648
TX000076,C0220,2026-01-01T10:10:00,113.91,retail,City-0,D1,card,616
TX000077,C0012,2026-03-20T18:00:00,210.8,cash,City-2,D0,card,1723
TX000078,C0139,2026-01-07T15:54:00,70.65,cash,City-4,D1,card,1310
TX000079,C0025,2026-01-24T22:46:00,73.58,cash,City-0,D1,card,905
